set,row_id,text,gold_topic,gold_sentiment,gold_entities,conversation_id
reference_set1,27,"and contact details and our representative will get in touch with you soon. Regards, [NAME] 2/2 [URL]",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Vicky""}]",519ceae7ef178031c28aeff67d39f971
reference_set1,28,We should be able to charge the driver for blowing us off.,complaint,negative,[],956f68852bdfac779dfda71aef27710b
reference_set1,29,Why are there no [NAME] songs on Spotify? This is a disgrace omgggg. @115888 @631411,complaint,negative,"[{""type"": ""PER"", ""text"": ""Bob Seger""}, {""type"": ""ORG"", ""text"": ""Spotify""}]",2f8f1810cfe93504f622d526b6a5923a
reference_set1,30,Wow you sure gave up easily,complaint,negative,[],0ff4bbab938b3724ca52b8541f65df2c
reference_set1,31,@Ask_Spectrum @115955 Same here. when can we expect it back? Last I checked there was no hurricane in [LOCATION] [LOCATION]. What's the excuse now? #3rdWorldCountryService,technical issue,negative,"[{""type"": ""ORG"", ""text"": ""Ask_Spectrum""}, {""type"": ""LOC"", ""text"": ""Brooklyn""}, {""type"": ""LOC"", ""text"": ""NY""}]",c60bc804b89453d859ee160393862aca
reference_set1,32,We miss you too [NAME]! Are you planning to come and visit again soon? - [NAME],praise and positive feedback,positive,"[{""type"": ""PER"", ""text"": ""Pat""}, {""type"": ""PER"", ""text"": ""Lloyd""}]",a274115e1d6a7a93230cabe45011b1a8
reference_set1,33,To add insult to injury I was just given another message that was worded exactly the same for the 4th time. Any real humans at Uber support?,complaint,negative,"[{""type"": ""ORG"", ""text"": ""Uber""}]",b40830e1096e0c46efa4ed25f2877704
reference_set1,34,"Rest assured, many replacements come with a 1 yr limited warranty. We're always here to help! ^AW",product question,neutral,[],41b59f8a1d6a38463153108d199ca77c
reference_set1,35,why is it that when I go to Jack there are no tacos??????,complaint,negative,"[{""type"": ""ORG"", ""text"": ""Jack""}]",b236369359f238cc095d1e1c31e97001
reference_set1,36,instance so that such instances never repeat. Appreciate your understanding. 2/2 ^MJ,complaint,neutral,[],73a1a3a4087d98001299dd34c06aef35
reference_set1,37,Let's help get this looked at for you. Please DM us the country you are currently in and we can go from there. [URL],technical issue,neutral,[],ecda9cd48996c7c140d2be02a0b9adde
reference_set1,38,@120576 can assist with this. ^PA,complaint,neutral,[],c95247137d7c213c1b6db26f8cfc56a2
reference_set1,39,"Hey [NAME], we're truly sorry for this experience! Happy to review further with you at __email__ if you'd like",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Damon""}]",d6b447f5e2ad7de7916109fc7efabc95
reference_set1,40,@AmazonHelp Yes. For last 21 days we are writing to them about our misplaced iphone but no solution. Just formal sweet replies. Cheats,delivery and shipping,negative,"[{""type"": ""ORG"", ""text"": ""AmazonHelp""}, {""type"": ""MISC"", ""text"": ""iphone""}]",f6ed9ed10eaf1f4d95868477cdb631a7
reference_set1,41,"Bonjour, c'est quoi le problème exactement? ^AL",complaint,neutral,[],cb0b1775e19dd224e22efea2c74060e9
reference_set1,42,@VirginTrains Case Reference: [ID],complaint,neutral,"[{""type"": ""ORG"", ""text"": ""VirginTrains""}]",e62d9350d3d53b3552548d43ee19c386
reference_set1,43,"my number [PHONE] can't access incoming call service, plz help me",technical issue,negative,[],0093d531e2af3fd8c00d4132cbbf8d40
reference_set1,44,"Hi again, we’d like to investigate this further. Please write to us at [URL] and DM us your ticket ID. Thanks!",technical issue,neutral,[],068907e6eedecdbadd3efcdd3a1f53eb
reference_set1,45,EBay gives you 50 free listings a month and always runs more free listing promotions.,product question,positive,"[{""type"": ""ORG"", ""text"": ""EBay""}]",0c5461927ec7f23a54ecfe0ef0fe8887
reference_set1,46,I understand this but it's still national cat day and I want my uber kittens,product question,neutral,"[{""type"": ""ORG"", ""text"": ""uber""}]",d11838b178394ad63d2ee729c48d3706
reference_set1,47,@117128 @116329 @4299 @118425 @118422 @airtel_care @4298 @10152  money .don't know value of,billing and payments,neutral,[],0ceed3b289e76c7f6ac4cdd6083a0966
reference_set1,48,Un gusto ayudarte. Por favor accede al Modo Seguro&gt; Restaurar configuración predeterminada: [URL],technical issue,neutral,"[{""type"": ""MISC"", ""text"": ""Modo Seguro""}]",09b8e844c7423c01bec93867c4653217
reference_set1,49,"UberEATS people don’t tip shit and the fare is way too low, you have to deliver about 15 miles so the fare can be decent. Customer don’t care how professional you can be",billing and payments,negative,"[{""type"": ""ORG"", ""text"": ""UberEATS""}]",2cf905d1ecbda51518d6f13bf653d6f9
reference_set1,50,"Hi [NAME], you can select phone at the bottom of the page there. ^AT",product question,neutral,"[{""type"": ""PER"", ""text"": ""Nina""}]",2e65ec46257d4ebc851c7028fdba7484
reference_set1,51,"you'v failed gf&amp;i. 50 mins on cc, appeared on App 24hrs before checkin. Have rebooked with @120200. BA have offered nohelp",complaint,negative,"[{""type"": ""ORG"", ""text"": ""BA""}]",dd932df7871e6c2bc1e1e0329c6645e8
reference_set1,52,That doesn't help the customers who missed a bunch of work and you guys ain't being flexible with paying their bills,billing and payments,negative,[],6fc30264589ce4f912df397944fff68c
reference_set1,53,Rupay Debit Card is available as a mode of payment on Amazon website. Request to refresh your account and retry payment after a couple of minutes. ^SF,billing and payments,neutral,"[{""type"": ""MISC"", ""text"": ""Rupay Debit Card""}, {""type"": ""ORG"", ""text"": ""Amazon""}]",0d39b5f30153b7d34f8aa8793cd83b54
reference_set1,54,"We're sorry you're unhappy with the amount offered, [NAME]. This is determined by our baggage specialists. ^[NAME]",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Lynne""}, {""type"": ""PER"", ""text"": ""Lynn""}]",c805754b491516f5521db36f9ecf13c1
reference_set1,55,"Thats dumb, accept feedback in whatever form you can get it.",complaint,negative,[],121d261f60d0fc13f12f283e5f53a39a
reference_set1,56,"We're happy to assist! Also, the pane is re-sizable so that may help! ^JK",product question,neutral,[],7984cbc9c85b15b3a11feacba517c28b
reference_set1,57,what is the use of Amazon? If I need to contact manufacturer. Amazon are responsible for any misconduct of manufacturer,complaint,negative,"[{""type"": ""ORG"", ""text"": ""Amazon""}, {""type"": ""ORG"", ""text"": ""Amazon""}]",f6ed9ed10eaf1f4d95868477cdb631a7
reference_set1,58,Hi there! What promotion are you referring to? Please let us know. - MF,billing and payments,neutral,[],25461b6e3420bb9241ffbc3fcb1fd10c
reference_set1,59,Sorry to hear you're having issues! Please reach out to support for assistance. Support is available 24/7. [URL] :),technical issue,neutral,[],3570efff52d6668ed484d98fd935741e
reference_set1,60,I'm sorry for your experience. Please contact @282583 for assistance. -B.G,complaint,neutral,[],19822b4e4ee072687def5dcc60c2864e
reference_set1,61,We love [LOCATION]! We haven’t previously been successful in overcoming the concerns of the community and gov leaders there.,product question,neutral,"[{""type"": ""LOC"", ""text"": ""Vermont""}]",2dd4cebda9d9bf9c26e48f7a84bb7779
reference_set1,62,"Hi [NAME], we asked you for some info back on [DATE] but we can't see that this was ever received. Can you send us this info please? ^HP",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Christy""}]",ccd43cb64de7978af1366c557aa0393f
reference_set1,63,Get unlimited music on your mobile. Get Spotify Free. [URL],product question,neutral,"[{""type"": ""ORG"", ""text"": ""Spotify""}]",22619582fc1400206f87ec66d0072d66
reference_set1,64,@119433 Doing a follow up in Service Request [ID] was created on [DATE].,complaint,neutral,[],dda3dd68bdae57a6f55a9411390cbecc
reference_set1,65,2/2 If you receive something that is different than what you ordered please open a case: [URL] ^CM,delivery and shipping,neutral,[],61e25edbfdaf15eaf038b9a7eee34b2d
reference_set1,66,Any update here.? It has been more than 10 days #idea#jio#trai#,complaint,negative,"[{""type"": ""ORG"", ""text"": ""idea""}, {""type"": ""ORG"", ""text"": ""jio""}, {""type"": ""ORG"", ""text"": ""trai""}]",2bd3cdc59673ee5a64e994179e9e1553
reference_set1,67,"If you've shared your details, we will look into it and get back to you with an update shortly. ^SQ",complaint,neutral,[],d8590328ec7dc4930c36c23a550974d9
reference_set1,68,10 days and *NO* calls from any Amazon representative.,complaint,negative,"[{""type"": ""ORG"", ""text"": ""Amazon""}]",0238bf8be49f536abc8f6670b766caa7
reference_set1,69,Looks like we have not received your details earlier. Please drop in your details here: 1/2^SB,complaint,neutral,[],0238bf8be49f536abc8f6670b766caa7
reference_set1,70,Hi there. Are you able to confirm if this email has details regarding a [LOCATION] card or a [LOCATION] card application? ^E,account management,neutral,"[{""type"": ""LOC"", ""text"": ""UK""}, {""type"": ""LOC"", ""text"": ""US""}]",0a66f7f18d24e1baadd1d7e335909dd6
reference_set1,71,Hello [NAME]. Have you used the unsubscribe link at the bottom of the message? Have you tried deleting/re-creating the filter? ^SS,technical issue,neutral,"[{""type"": ""PER"", ""text"": ""Gloria""}]",54a5d819d84e86338cced6a5485fe12e
reference_set1,72,the owner needs A fucking Punch to the Face Go Back To [LOCATION] You FAKE Patriot SPIC,complaint,negative,"[{""type"": ""LOC"", ""text"": ""Mexico""}]",f4c21d8ed1a033d1c26177fb5e8d5835
reference_set1,73,@ATVIAssist WHEN ARE WE GETTING NEW UPDATE I GOT THE RSA INDTERDICTION OUT OF MY TRIPLE PLAY 😭😭😭,technical issue,negative,"[{""type"": ""ORG"", ""text"": ""ATVIAssist""}, {""type"": ""MISC"", ""text"": ""RSA INDTERDICTION""}]",34e58c75288dadca6ed9fb51b5de78a9
reference_set1,74,"@773566 Service providers (like Verizon, directive, etc. ) want to charge extra money for internet services",billing and payments,negative,"[{""type"": ""ORG"", ""text"": ""Verizon""}]",39149199bce30618134d2b4ba27d8669
reference_set1,75,Thanks fixed!!,praise and positive feedback,positive,[],d44003cb6be8cff88c4f9ef9fd31b820
reference_set1,76,Here to help! Send us a note via [URL] so our team can connect.,complaint,neutral,[],2ebba35de780d434b1068cd52787164b
reference_set1,77,Since this tweet I've continued to be charged on my monthly bill for insurance I asked to be cancelled. It's ridiculous and I want a refund,billing and payments,negative,[],c43b4eb4985adbffbdbe88c865d25814
reference_set1,78,It shouldn't take over a week to give a justification for an app permission. That information should be in the app description.,product question,negative,[],8910f41d3f22b34450934ea4c13eacf5
reference_set1,79,I do have the cable and HP Support Assistant - and it was fine before changing router info.,technical issue,neutral,"[{""type"": ""MISC"", ""text"": ""HP Support Assistant""}]",bf937f97a46c30cf920aacbc724f8068
reference_set1,80,"@nationalrailenq Forgive me piggybacking on your old chat; this appears to still be a problem, I've had with this website for months. No sign of fixing yet..",technical issue,negative,"[{""type"": ""ORG"", ""text"": ""nationalrailenq""}]",5f80c2d722bbb5ffc940486bdf579656
reference_set1,81,I can see the ticket on my device but the app crashes every time I try to access.,technical issue,negative,[],f66f3411311a6c877dfdf5b5332a308a
reference_set1,82,I am sorry that we missed your message but we are unable to assist with overcharges on Contactless over social media.,billing and payments,neutral,"[{""type"": ""MISC"", ""text"": ""Contactless""}]",01d0dcd5231c182d5f8b18566dae662d
reference_set1,83,Great! Glad to hear it's working. Just let us know if we can help with anything else. [URL] /GK,technical issue,positive,[],5dc8e2c4fdedc08ee668752c81116772
reference_set1,84,"@116245 #Argos Now, nearly 5 years of telling you that there is ONLY 1 town called [LOCATION] in the [LOCATION]. Yet still you can not remove the error from your database. Still the same problem. Who do I need to speak to in your organisation to get this fixed? [URL]",technical issue,negative,"[{""type"": ""ORG"", ""text"": ""Argos""}, {""type"": ""LOC"", ""text"": ""Northampton""}, {""type"": ""LOC"", ""text"": ""UK""}]",422da1e7dd02d55c142b6b5c01856e03
reference_set1,85,[PHONE],account management,neutral,[],719653e675f24537d4cb647537a2a04f
reference_set1,86,@684585 I was told that when I complained about @Morrisons only displaying #Sun #DailyMail and #Express - nothing changed.,complaint,negative,"[{""type"": ""ORG"", ""text"": ""Morrisons""}, {""type"": ""ORG"", ""text"": ""Sun""}, {""type"": ""ORG"", ""text"": ""DailyMail""}, {""type"": ""ORG"", ""text"": ""Express""}]",14b84bbef2453395f8909e3f25dcb012
reference_set1,87,So many spam wordpress signups from @123196.com addresses...,technical issue,negative,"[{""type"": ""MISC"", ""text"": ""wordpress""}]",156a0ff31a18308439d087b50c7540bf
reference_set1,88,save search emails are not being sent. My guess: tell developers a cron job stopped. Bug has been here for a few days missing emails.,technical issue,negative,[],6a011737145e0f4f8c90f58ddcbaeafd
reference_set1,89,"Hello @478156, kindly state the exact issue for prompt assistance. Thank you. ^[NAME]",complaint,neutral,"[{""type"": ""PER"", ""text"": ""OFunmi""}]",d0e1f439691f35de3b10d26a6351193e
reference_set1,90,No one should ever deal with chase!,complaint,negative,"[{""type"": ""ORG"", ""text"": ""chase""}]",59f01d0a6449a13fcc89f67cedd1be7d
reference_set1,91,"Hi, [NAME]. Thanks for reaching out, please check out the following page to submit your inquiry: [URL]",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Bev""}]",36c4a37a4bbf65c51a1fafe7ab5ccb2f
reference_set1,92,@Tesco i dont know,complaint,neutral,[],83663864fbd1775ce2ce02aeb1e96109
reference_set1,93,"this is not the first time when its delayed ..  now pls share by when l""ll get my order ..",delivery and shipping,negative,[],9a90f3e2ffee3e5fdcb37f166dd4ff8a
reference_set1,94,"Hello @360284, apologies on your experience. Please provide the affected mobile number via DM for assistance. Thank you. ^ED",technical issue,neutral,[],3f117d063bf44b95e483560308a578db
reference_set1,95,Hey [NAME]. I'm so sorry! Could you send us the barcode and tell us what store you bought this from? [NAME],complaint,neutral,"[{""type"": ""PER"", ""text"": ""Tayla""}, {""type"": ""PER"", ""text"": ""Goldie""}]",11e09d04c52d1214e82c01684ed6a144
reference_set1,96,"Hello @120605, apologies on your experience. Kindly provide your mobile number along with your phone type for checks and (1/2)",technical issue,neutral,[],0ceed3b289e76c7f6ac4cdd6083a0966
reference_set1,97,@120603 @116329 hi jio - can u help my network transfer from airtel to jio ?  This should irritate airtel and shows,cancellation,negative,"[{""type"": ""ORG"", ""text"": ""jio""}, {""type"": ""ORG"", ""text"": ""airtel""}, {""type"": ""ORG"", ""text"": ""jio""}, {""type"": ""ORG"", ""text"": ""airtel""}]",0ceed3b289e76c7f6ac4cdd6083a0966
reference_set1,98,"Hello, please send us the affected number via DM. ^KP @119433",technical issue,neutral,[],dd7d4813234db73dafa71eceba250c9f
reference_set1,99,It's been a big trouble for the past 2 weeks. Please resolve it asap!,complaint,negative,[],82bafae754cf870e07ca1371cc5c60fb
reference_set1,100,Hey @148884 @HotelTonightCX pls help I need v special hotel in [LOCATION] Friday? I've been nominated for an @12136 &amp; forgot to book,product question,neutral,"[{""type"": ""ORG"", ""text"": ""HotelTonightCX""}, {""type"": ""LOC"", ""text"": ""Liverpool""}]",a89b53c5bfe34b86fba0883418475d98
reference_set1,101,"Tried asking question on CC website and error ""Certain special characters not allowed"" but does not tell what char isn't allowed",technical issue,negative,[],84e1ff8a2651456b760d01c0aecb59d5
reference_set1,102,"@4030 @118702 @115937 @4110 @4168 @119356 @115821 @131283 @144775 @2517 Dear Amazon, People trust on your brand name when they buy anything from your website. Why do you want to fool innocent customers.Stop Scams",complaint,negative,"[{""type"": ""ORG"", ""text"": ""Amazon""}]",69501997e5ad7a95f0eb17c6e3d4458b
reference_set1,103,Been waiting in line for over 40 minutes here at @JackBox. So uncalled for. Terrible customer service. There is no need to wait this long.,complaint,negative,"[{""type"": ""ORG"", ""text"": ""JackBox""}]",b93ba1aecc2b04401cbf2c90167ffc10
reference_set1,104,"Please don't provide your details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AM",account management,neutral,"[{""type"": ""ORG"", ""text"": ""Twitter""}]",4c83cb8981ef78169bb5c6caab57cc42
reference_set1,105,@398194 u went from usable. Functional. Easy navigate to a bloated 'pretty' disaster where the designed doesnt seem to care about anything but looks,complaint,negative,[],1793f3e1018256235296efcebc8de7a1
reference_set1,106,You can send the request to: Citibank Service Center c/o Branch and Client Services [LOCATION],account management,neutral,"[{""type"": ""ORG"", ""text"": ""Citibank Service Center""}, {""type"": ""LOC"", ""text"": ""San Antonio""}, {""type"": ""LOC"", ""text"": ""TX""}]",f6ebea9c4dba67d93d15a0d3d1252482
reference_set1,107,"Hey Spotify, this is happening again. I can't possibly be logging in and out / restarting each time this happens? :(",technical issue,negative,"[{""type"": ""ORG"", ""text"": ""Spotify""}]",dad82925efef905136ab9d7650063136
reference_set1,108,[ID] Confirmed. Ksh160.00 paid to NEW HOPE CHEMIST..1 on [DATE] at [DATE].wrong till # ([PHONE]) kindly help,billing and payments,negative,"[{""type"": ""ORG"", ""text"": ""NEW HOPE CHEMIST""}]",d3cd9c2391ab5e3232620bf336582dad
reference_set1,109,"All flights are open seating, and we don't have a policy for or against saving seats. We apologize for any frustration. ^CD",product question,neutral,[],6d5f9726cce765437d249d9eb8ca2e3f
reference_set1,110,I have been shocking how fraudsters are registering similar domains to yours and extracting money from people,complaint,negative,[],6a0d9952077b5807afd85dade36409cc
reference_set1,111,passenger Dr [NAME] [PHONE]/ __email__,account management,neutral,"[{""type"": ""PER"", ""text"": ""Ashvin Shah""}]",1714637f806c7ba3bc9e4102754cbc47
reference_set1,112,@AldiUK Cheers @536970 I'd appreciate that. Thanks,praise and positive feedback,positive,"[{""type"": ""ORG"", ""text"": ""AldiUK""}]",97e4660ea7d4f9b553564f4ea99938e1
reference_set1,113,Oh no! We’re so sorry to hear that.  Can you send us a private message with details about your experience. Which location did you go to?,complaint,neutral,[],9b374edd50a2549a6dc4eae15596d02d
reference_set1,114,I wanted this deal.  To bad I am a sprint customer.  Was basically told go to another carrier.,billing and payments,negative,"[{""type"": ""ORG"", ""text"": ""sprint""}]",e298a1f431dbdff355cabf92f0ddd099
reference_set1,115,"Mortgages, LifeLock, [NAME] products, liberty mutual, lasik, Harp, Vonage etc. None with legit domain addresses.",complaint,negative,"[{""type"": ""ORG"", ""text"": ""LifeLock""}, {""type"": ""PER"", ""text"": ""Cindy Crawford""}, {""type"": ""ORG"", ""text"": ""liberty mutual""}, {""type"": ""MISC"", ""text"": ""lasik""}, {""type"": ""MISC"", ""text"": ""Harp""}, {""type"": ""ORG"", ""text"": ""Vonage""}]",54a5d819d84e86338cced6a5485fe12e
reference_set1,116,Thanks. It seems crazy to sell a BA ticket at BA prices but not provide the benefits of Silver status. I may as well pay for AerLingus!,complaint,negative,"[{""type"": ""ORG"", ""text"": ""BA""}, {""type"": ""ORG"", ""text"": ""BA""}, {""type"": ""MISC"", ""text"": ""Silver""}, {""type"": ""ORG"", ""text"": ""AerLingus""}]",53fae7ba0e42a74f2f6e8946ecf4f285
reference_set1,117,@AskLyft @195340 Sad - I agree - very hard pill to swallow -#LyftLoyalist,complaint,negative,"[{""type"": ""ORG"", ""text"": ""AskLyft""}, {""type"": ""MISC"", ""text"": ""LyftLoyalist""}]",a7d2625cf1de2faac9ae3ff2ff3cb482
reference_set1,118,"Hi There, you may pre-book Baggage Allowance online via Manage my Booking up 4 hours before departure. Thank you. -[NAME]",product question,neutral,"[{""type"": ""MISC"", ""text"": ""Manage my Booking""}, {""type"": ""PER"", ""text"": ""Prabu""}]",ded2b2915faca738fe99e96526c15378
reference_set1,119,@118342 @173705 @115851 My sincere apologies for disturbing you but now you are the only hope in this case of digital fraud.,complaint,negative,[],e6a04da28df2c40b06ae83f92f740332
reference_set1,120,"When you signed your contract, it would have stated this was a business contract that you were taking out.",account management,neutral,[],ac852511abe6839f26b1a00ad1488f9a
reference_set1,121,You can add an exception for this folder in Norton. What Norton program do you use? -[NAME],technical issue,neutral,"[{""type"": ""ORG"", ""text"": ""Norton""}, {""type"": ""ORG"", ""text"": ""Norton""}, {""type"": ""PER"", ""text"": ""Anirban""}]",048358da4fe91980bb9a09bad0c6a10d
reference_set1,122,help? Reinstalled already. [URL],technical issue,negative,[],a59afadc4e3b4271c342a809e144bf1b
reference_set1,123,@202391 Why is this the only post in the thread that you respond to,complaint,negative,[],bc7659ddd8b2b760370109c27cfc257c
reference_set1,124,why HBO documentaries never updated? Its been two years. Verizon always updated it.,complaint,negative,"[{""type"": ""ORG"", ""text"": ""HBO""}, {""type"": ""ORG"", ""text"": ""Verizon""}]",c6633cc9d202591bb77f8add8e247224
reference_set1,125,Dont contact me unless you plan to fix my problems. Ive got zero options except you.,complaint,negative,[],04eb8c999907931226add41538a17631
reference_set1,126,"With #topbonus now being officially retired from #OneWorld, any plans to match the status of former elites?",account management,neutral,"[{""type"": ""MISC"", ""text"": ""topbonus""}, {""type"": ""ORG"", ""text"": ""OneWorld""}]",40a1053409d3ebc2b4c05592a89c2bc3
reference_set1,127,Explore the birthplace of jazz &amp; blues w/ singer/songwriter @162047 as he joins the music #weekenders. [URL],product question,neutral,[],0de389cb81d38a600dbdba8c33d77a2c
reference_set1,128,"Hello @453781, apologies on your experience. Please note that refund can not be made for such services. However, the service (1/2)",billing and payments,neutral,[],9a89544a7c3cf7610e92f4ed46e54179
reference_set1,129,"Hi [NAME], I am sorry, this is not something we would provide feedback to you for. It is for internal use only. TY - [NAME]",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Sylva""}, {""type"": ""PER"", ""text"": ""Chris""}]",ac84bba8f99fbbb1becac7acda233161
reference_set1,130,#asurion cell phone insurance does not honor their contract. Battery drains constantly. Won't replace. #fraud,complaint,negative,"[{""type"": ""ORG"", ""text"": ""asurion""}]",f24f1da704ca845d0f809fe3208a65aa
reference_set1,131,"[NAME], how can I pm y? I tried and it won't let me. I really like to get my T-mobile issue resolve. Thank you.",complaint,neutral,"[{""type"": ""PER"", ""text"": ""John Legere""}, {""type"": ""ORG"", ""text"": ""T-mobile""}]",cdfe368b6cbe3beacd8cd9e50cb89e69
reference_set1,132,"Hi there! Unfortunately, this page does not support Spanish as a language. I recommend reaching out to the Spanis... [URL]",product question,neutral,"[{""type"": ""MISC"", ""text"": ""Spanish""}]",fd3d238a0b2c2fe01413e30c474c4c25
reference_set1,133,"Hi [NAME], we apologize for the experience you had and we are here to help. A dedicated Case Manager follow up with you. Thank you.",complaint,neutral,"[{""type"": ""PER"", ""text"": ""Barbara""}]",79e182f5c6c90eb6a3fe15c981d69e7e
reference_set1,134,@685795 My games have been fine the last 2 days i just earned prestige 1 rank 35 and got a supply drop my 1st time so far not having the supply drop i earned and its weird its just happening now i need a response and a fix being ignored is not ok,technical issue,negative,[],d8d84c9e28369420445c3199528a3a58
