set,row_id,engine_label,text,predicted_text,gold_topic,pred_topic,topic_correct,gold_sentiment,pred_sentiment,sentiment_correct,pred_sentiment_score,gold_entities,pred_entities,engine,provider,model,latency_ms,cost_usd
reference_set3,190,BERT,"Hi again 👋 Sobald wir News dazu haben, kündigen wir das sicherlich über die sozialen Medien an. Hab Geduld. ^AS","Hi again [REDACTED] dazu haben, [REDACTED] [NAME] an. [NAME]. ^AS",product question,praise and positive feedback,0,neutral,neutral,1,0.9956,[],"[{""type"": ""PER"", ""text"": ""So""}, {""type"": ""ORG"", ""text"": ""News""}, {""type"": ""MISC"", ""text"": ""Me""}, {""type"": ""PER"", ""text"": ""G""}, {""type"": ""LOC"", ""text"": ""##ed""}, {""type"": ""ORG"", ""text"": ""AS""}]",local,,,,
reference_set3,189,BERT,"It's cancelled now, but I am very unhappy with the agent. Scaring me into waiting because I'll ""pay a fee"" (but it's more expensive to wait)","It's cancelled now, but I am very unhappy with the agent. Scaring me into waiting because I'll ""pay a fee"" (but it's more expensive to wait)",cancellation,cancellation,1,negative,negative,1,0.9882,[],[],local,,,,
reference_set3,188,BERT,@115816 @265134 So I have a generator to send and weights 157lbs only 7 LBS over your limit can I send so I can help my people in [LOCATION] #PRinhelp,@[REDACTED] @[REDACTED] So I have a generator to send and weights 157lbs only 7 LBS over your limit can I send so I can help my people in [LOCATION] #PRinhelp,delivery and shipping,product question,0,neutral,positive,0,0.9916,"[{""type"": ""LOC"", ""text"": ""Puerto Rico""}]","[{""type"": ""LOC"", ""text"": ""Puerto Rico""}]",local,,,,
reference_set3,187,BERT,@115993 Devious ways of #paypal. When agents have been instructed to not to help customers. See snapshots. [URL],@[REDACTED] Devious ways of #paypal. When agents have been instructed to not to help customers. See snapshots. [URL],complaint,complaint,1,negative,negative,1,0.9973,"[{""type"": ""ORG"", ""text"": ""paypal""}]",[],local,,,,
reference_set3,186,BERT,Hello Do you know you can stop your screen from rotating by simply tapping the rotation lock in the notification shade? Thank you for (1/2),Hello Do you know you can stop your screen from rotating by simply tapping the rotation lock in the notification shade? Thank you for (1/2),product question,praise and positive feedback,0,neutral,positive,0,0.9933,[],[],local,,,,
reference_set3,185,BERT,The movie will be billed and then credited to the account. ^BAB,The movie will be billed and then credited to the account. [ID],billing and payments,billing and payments,1,neutral,neutral,1,0.9986,[],[],local,,,,
reference_set3,184,BERT,WHAAT since when,[NAME] since when,product question,complaint,0,neutral,neutral,1,0.9868,[],[],local,,,,
reference_set3,183,BERT,Können wir dir helfen? ^DW,[REDACTED]? ^DW,complaint,complaint,1,neutral,neutral,1,0.9965,[],"[{""type"": ""PER"", ""text"": ""K""}]",local,,,,
reference_set3,182,BERT,@115913 @TMobileHelp @173070 @115913 sure...if I can. Data is barely working.,@[REDACTED] @TMobileHelp @[REDACTED] @[REDACTED] sure...if I can. Data is barely working.,technical issue,technical issue,1,negative,neutral,0,0.9413,[],"[{""type"": ""ORG"", ""text"": ""##H""}]",local,,,,
reference_set3,181,BERT,@115993 talking to paypal not you. just commenting to show that your experience with [NAME] isn't universal,@[REDACTED] talking to paypal not you. just commenting to show that your experience with [NAME] isn't universal,complaint,complaint,1,neutral,negative,0,0.9519,"[{""type"": ""PER"", ""text"": ""Drew""}]","[{""type"": ""PER"", ""text"": ""Drew""}]",local,,,,
reference_set3,180,BERT,I've been on hold for 45 minutes on the skymiles 800 number line. I am now remebering why i quit flying @delta several years ago!,I've been on hold for [DATE] on the skymiles 800 number line. I am now remebering why i quit flying @delta [DATE]!,complaint,complaint,1,negative,neutral,0,0.9979,"[{""type"": ""MISC"", ""text"": ""skymiles""}, {""type"": ""ORG"", ""text"": ""delta""}]",[],local,,,,
reference_set3,179,BERT,I left a message for you today with additional information. Please let me know if you need anything further. ^gc,I left a message for you [DATE] with additional information. Please let me know if you need anything further. [NAME],complaint,praise and positive feedback,0,neutral,neutral,1,0.996,[],[],local,,,,
reference_set3,178,BERT,I haven't - I've been having problems doing it on the web player,I haven't - I've been having problems doing it on the web player,technical issue,technical issue,1,negative,neutral,0,0.9987,[],[],local,,,,
reference_set3,177,BERT,"Great question, [NAME]! DM us so we can talk more about your options! *[NAME]","Great question, [NAME]! DM us so we can talk more about your options! *MelindaR",product question,praise and positive feedback,0,positive,neutral,0,0.9862,"[{""type"": ""PER"", ""text"": ""Jourdan""}, {""type"": ""PER"", ""text"": ""MelindaR""}]","[{""type"": ""PER"", ""text"": ""Jo""}]",local,,,,
reference_set3,176,BERT,Still waiting for an explanation as to why my account was closed!,Still waiting for an explanation as to why my account was closed!,account management,cancellation,0,negative,negative,1,0.9083,[],[],local,,,,
reference_set3,175,BERT,@186323 Uninstalled today. Disabling all Lyft notifications to turn off intrusive ads (including pickup status) throws the baby out with the bathwater. This is a dealbreaker. Goodbye Lyft. (android),[LOCATION] Uninstalled [DATE]. Disabling all Lyft notifications to turn off intrusive ads (including pickup status) throws the baby out with the bathwater. This is a dealbreaker. [REDACTED]. (android),cancellation,complaint,0,negative,negative,1,0.9942,"[{""type"": ""ORG"", ""text"": ""Lyft""}, {""type"": ""ORG"", ""text"": ""Lyft""}, {""type"": ""MISC"", ""text"": ""android""}]","[{""type"": ""ORG"", ""text"": ""Lyft""}, {""type"": ""ORG"", ""text"": ""Lyft""}]",local,,,,
reference_set3,174,BERT,A digital wallet is a third-party payment application that allows clients to make purchases without their physical card.^kb,A digital wallet is a third-party payment application that allows clients to make purchases without their physical card.^kb,billing and payments,product question,0,neutral,positive,0,0.9941,[],[],local,,,,
reference_set3,173,BERT,"Hi [NAME], we're following you now if you need to DM us. Let us know more about your query. ^L","Hi [NAME], we're following you now if you need to DM us. Let us know more about your query. ^L",complaint,praise and positive feedback,0,neutral,neutral,1,0.568,"[{""type"": ""PER"", ""text"": ""Natasha""}]","[{""type"": ""PER"", ""text"": ""Natasha""}]",local,,,,
reference_set3,172,BERT,they don't tell you about the surge cost though I paid £18.67 to travel 3 miles !! #ripoff,they don't tell you about the surge cost though I paid £18.67 to travel 3 miles !! #ripoff,billing and payments,complaint,0,negative,neutral,0,0.6584,[],[],local,,,,
reference_set3,171,BERT,"@120576 Hi [NAME], are you booking via our website or @120576 ? ^HP","@[REDACTED] Hi [NAME], are you booking via our website or @[REDACTED] ? ^HP",product question,praise and positive feedback,0,neutral,neutral,1,0.9976,"[{""type"": ""PER"", ""text"": ""Ruari""}]","[{""type"": ""PER"", ""text"": ""Rua""}]",local,,,,
reference_set3,170,BERT,Sorry to hear that. Could you send us a direct message to collect a few information and help you with that? -[NAME],Sorry to hear that. Could you send us a direct message to collect a few information and help you with that? -Dinesh,technical issue,complaint,0,neutral,neutral,1,0.9955,"[{""type"": ""PER"", ""text"": ""Dinesh""}]","[{""type"": ""PER"", ""text"": ""Din""}, {""type"": ""PER"", ""text"": ""##esh""}]",local,,,,
reference_set3,169,BERT,"@119433 lack of transmitter network in [LOCATION] County ,[LOCATION] district ,[LOCATION]  division [LOCATION]  location ...","@[REDACTED] lack of transmitter network in [LOCATION] ,[LOCATION] ,[NAME]  division [ID]  location ...",technical issue,complaint,0,negative,negative,1,0.9678,"[{""type"": ""LOC"", ""text"": ""west pokot County""}, {""type"": ""LOC"", ""text"": ""kapenguria""}, {""type"": ""LOC"", ""text"": ""sook""}, {""type"": ""LOC"", ""text"": ""Endough""}]","[{""type"": ""LOC"", ""text"": ""p""}, {""type"": ""LOC"", ""text"": ""##t County""}, {""type"": ""LOC"", ""text"": ""##gu""}]",local,,,,
reference_set3,168,BERT,"Hello @426055, apologies on your experience. Kindly provide your mobile number via DM for checks and assistance. Thank you. ^CIA","Hello @[REDACTED], apologies on your experience. Kindly provide your mobile number via DM for checks and assistance. Thank you. ^CIA",technical issue,complaint,0,neutral,neutral,1,0.8417,[],"[{""type"": ""ORG"", ""text"": ""DM""}, {""type"": ""ORG"", ""text"": ""CIA""}]",local,,,,
reference_set3,167,BERT,"@115798 How come they are no points given on my new purchase of flight , i only see points frm previous balance, isnt it auto update, Pls advise, TQ","@[REDACTED] How come they are no points given on my new purchase of flight , i only see points frm previous balance, isnt it auto update, Pls advise, TQ",account management,complaint,0,negative,negative,1,0.7989,[],[],local,,,,
reference_set3,166,BERT,"[NAME],  let us know if you still need help. Please provide the previously requested info only. Kind Regards, ^SJ [URL]","[NAME],  let us know if you still need help. Please provide the previously requested info only. Kind Regards, ^SJ [URL]",complaint,praise and positive feedback,0,neutral,neutral,1,0.9965,"[{""type"": ""PER"", ""text"": ""Emy""}]","[{""type"": ""PER"", ""text"": ""Em""}]",local,,,,
reference_set3,165,BERT,Can I know how to claim back the Big Points?,Can I know how to claim back the Big Points?,account management,product question,0,neutral,neutral,1,0.9969,"[{""type"": ""MISC"", ""text"": ""Big Points""}]","[{""type"": ""MISC"", ""text"": ""Big Points""}]",local,,,,
reference_set3,164,BERT,pls tell me why i got 2 things of hashbrowns instead of a bagel with cc and why ur frozen ice coffee tastes like COUGH SYRUP,pls tell me why i got 2 things of hashbrowns instead of a bagel with cc and why ur frozen ice coffee tastes like COUGH SYRUP,complaint,complaint,1,negative,negative,1,0.9968,[],"[{""type"": ""MISC"", ""text"": ""CO""}]",local,,,,
reference_set3,163,BERT,"Hi, we are following up on your request under ticket no. [ID]. We will advise once done within 24hrs. ^NO","Hi, we are following up on your request under ticket no. 1-DAPT4JV. We will advise once done within [DATE]. ^NO",complaint,complaint,1,neutral,neutral,1,0.9981,[],[],local,,,,
reference_set3,162,BERT,Last leg. [LOCATION] - #[LOCATION] 🇸🇪 [URL],Last leg. [LOCATION] - #Göteborg 🇸🇪 [URL],product question,delivery and shipping,0,neutral,neutral,1,0.8037,"[{""type"": ""LOC"", ""text"": ""London""}, {""type"": ""LOC"", ""text"": ""Göteborg""}]","[{""type"": ""LOC"", ""text"": ""London""}, {""type"": ""LOC"", ""text"": ""Göteborg""}]",local,,,,
reference_set3,161,BERT,@115900 XFINITY has provided poor svc or completely failed to provide svc almost every day since they installed their new system. Won't issue credit,[REDACTED] has provided poor [REDACTED] or completely failed to provide svc [DATE] since they installed their new system. Won't issue credit,complaint,complaint,1,negative,negative,1,0.9899,"[{""type"": ""ORG"", ""text"": ""XFINITY""}]","[{""type"": ""ORG"", ""text"": ""##NI""}]",local,,,,
reference_set3,160,BERT,@119433 Hello [NAME] as agreed we will give you feedback.Issue has been raised on ticket number:[ID] for follow up.^TM,@[REDACTED] Hello [NAME] as agreed we will give you [URL]sue has been raised on ticket number:1-CQB7C1I for follow up.^TM,complaint,complaint,1,neutral,neutral,1,0.9983,"[{""type"": ""PER"", ""text"": ""Wangari""}]","[{""type"": ""ORG"", ""text"": ""Wang""}]",local,,,,
reference_set3,159,BERT,Distance makes the heart grow fonder when you're on #TigoNightFix Stay connected with loved ones from 12am to 5am. Dial *500*4# to subscribe [URL],Distance makes the heart grow fonder when you're on #TigoNightFix Stay connected with loved ones from [DATE]. Dial *500*4# to subscribe [URL],product question,product question,1,neutral,neutral,1,0.9936,"[{""type"": ""MISC"", ""text"": ""TigoNightFix""}]",[],local,,,,
reference_set3,158,BERT,"ordered my first box almost a week ago, still hasn't arrived :(","ordered my first box [DATE], still hasn't arrived :(",delivery and shipping,complaint,0,negative,neutral,0,0.5109,[],[],local,,,,
reference_set3,157,BERT,@191567 i have been to apple about this and it is brock,@[REDACTED] i have been to apple about this and it is [NAME],technical issue,product question,0,negative,neutral,0,0.9889,"[{""type"": ""ORG"", ""text"": ""apple""}]",[],local,,,,
reference_set3,156,BERT,Thank you for following up! We can see you've been able to connect with a member of our team within in-app support.,Thank you for following up! We can see you've been able to connect with a member of our team within in-app support.,complaint,praise and positive feedback,0,neutral,positive,0,0.9956,[],[],local,,,,
reference_set3,155,BERT,ok let me engage him,ok let me engage him,complaint,praise and positive feedback,0,neutral,neutral,1,0.9696,[],[],local,,,,
reference_set3,154,BERT,"Hi [NAME], keep an eye on our social media pages. We'll announce it when Android update is released for F1 Plus. [NAME] OPPO Care","Hi [URL]over, keep an eye on our social media pages. We'll announce it when [REDACTED] update is released for [REDACTED]. Rishi OPPO Care",product question,product question,1,neutral,neutral,1,0.9937,"[{""type"": ""PER"", ""text"": ""S.Grover""}, {""type"": ""MISC"", ""text"": ""Android""}, {""type"": ""MISC"", ""text"": ""F1 Plus""}, {""type"": ""PER"", ""text"": ""Rishi""}, {""type"": ""ORG"", ""text"": ""OPPO Care""}]","[{""type"": ""PER"", ""text"": ""S""}, {""type"": ""PER"", ""text"": ""Grove""}, {""type"": ""MISC"", ""text"": ""Android""}, {""type"": ""MISC"", ""text"": ""F1 Plus""}, {""type"": ""ORG"", ""text"": ""R""}]",local,,,,
reference_set3,153,BERT,We would never brush you off. We're right here if you change your mind.,We would never brush you off. We're right here if you change your mind.,complaint,praise and positive feedback,0,neutral,neutral,1,0.9328,[],[],local,,,,
reference_set3,152,BERT,Yes i got the font uninstalled successfully. thank you!,Yes i got the font uninstalled successfully. thank you!,praise and positive feedback,praise and positive feedback,1,positive,positive,1,0.9967,[],[],local,,,,
reference_set3,151,BERT,"Hi, we're sorry we don't have any further information on WiFi on our fleet at the moment. ^[NAME]","Hi, we're sorry we don't have any further information on WiFi on our fleet at the moment. ^Lynn",product question,technical issue,0,neutral,neutral,1,0.9953,"[{""type"": ""PER"", ""text"": ""Lynn""}]","[{""type"": ""PER"", ""text"": ""Lynn""}]",local,,,,
reference_set3,150,BERT,Really? Seriously?? Give me a break.,Really? Seriously?? Give me a break.,complaint,complaint,1,negative,neutral,0,0.9987,[],[],local,,,,
reference_set3,149,BERT,We unfortunately don't foresee it becoming available for international shipment in the near future.,We unfortunately don't foresee it becoming available for international shipment in the near future.,delivery and shipping,delivery and shipping,1,neutral,neutral,1,0.9438,[],[],local,,,,
reference_set3,148,BERT,"So that we may look at what options may be available, please contact us by phone here: [URL]","So that we may look at what options may be available, please contact us by phone here: [URL]",complaint,product question,0,neutral,neutral,1,0.9963,[],[],local,,,,
reference_set3,147,BERT,makes sense that after a driver gets 2 a certain amount that the express pay processing fee doesn’t  cover the merchant fees causing reviews,makes sense that after a driver gets 2 a certain amount that the express pay processing fee doesn’t  cover the merchant fees causing reviews,billing and payments,complaint,0,neutral,negative,0,0.9262,"[{""type"": ""MISC"", ""text"": ""express pay""}]",[],local,,,,
reference_set3,146,BERT,We currently do not have tracking services. ^RO,We currently do not have tracking services. ^RO,product question,technical issue,0,neutral,negative,0,0.9066,[],[],local,,,,
reference_set3,145,BERT,Is this happening with every item you are trying to order [NAME]? ^KM,Is this happening with every item you are trying to order [NAME]? ^KM,technical issue,product question,0,neutral,neutral,1,0.9969,"[{""type"": ""PER"", ""text"": ""Matthew""}]","[{""type"": ""PER"", ""text"": ""Matthew""}]",local,,,,
reference_set3,144,BERT,Pls call [PHONE]  and we can review!!,Pls call [PHONE]  and we can review!!,complaint,praise and positive feedback,0,neutral,neutral,1,0.7349,[],[],local,,,,
reference_set3,143,BERT,"We will raise this concern,please bear us sometime we will get back to you. Regards, [NAME]","We will raise this concern,please bear us sometime we will get back to you. Regards, [NAME]",complaint,complaint,1,neutral,neutral,1,0.9984,"[{""type"": ""PER"", ""text"": ""Amruta""}]","[{""type"": ""PER"", ""text"": ""Amru""}]",local,,,,
reference_set3,142,BERT,"Another month, another blank email - stand by for some more inept lame excuses.... [URL]","[DATE], another blank email - stand by for some more inept lame excuses.... [URL]",complaint,complaint,1,negative,negative,1,0.9875,[],[],local,,,,
reference_set3,141,BERT,There isn't unfortunately [NAME] :( Sorry we understand it must be inconvenient.,There isn't unfortunately [NAME] :( Sorry we understand it must be inconvenient.,product question,complaint,0,neutral,negative,0,0.9928,"[{""type"": ""PER"", ""text"": ""Emma""}]","[{""type"": ""PER"", ""text"": ""Emma""}]",local,,,,
reference_set3,140,BERT,Hi [NAME]. Sorry for the delay this evening. Are you referring to the 18:05 service? [NAME],Hi Guy. Sorry for the delay [DATE]. Are you referring to the 18:05 service? Rachel,complaint,complaint,1,neutral,neutral,1,0.7989,"[{""type"": ""PER"", ""text"": ""Guy""}, {""type"": ""PER"", ""text"": ""Rachel""}]","[{""type"": ""PER"", ""text"": ""Guy""}, {""type"": ""PER"", ""text"": ""Rachel""}]",local,,,,
reference_set3,139,BERT,"@VirginAmerica If I don't use all of my #VirginAmerica travel bank by the end of this year, would I risk losing all of that?","@VirginAmerica If I don't use all of my #VirginAmerica travel bank by [DATE], would I risk losing all of that?",account management,account management,1,neutral,neutral,1,0.976,"[{""type"": ""ORG"", ""text"": ""VirginAmerica""}, {""type"": ""ORG"", ""text"": ""VirginAmerica""}]","[{""type"": ""ORG"", ""text"": ""VirginAmer""}, {""type"": ""ORG"", ""text"": ""VirginAmer""}]",local,,,,
reference_set3,138,BERT,"@AmazonHelp I will not pay a penny às you are selling Chinese damaged Mobile in collaboration with Amazon, i will go to consumer court","@AmazonHelp I will not pay a penny às you are selling [ID] damaged [LOCATION] in collaboration with [REDACTED], i will go to consumer court",complaint,complaint,1,negative,negative,1,0.7241,"[{""type"": ""MISC"", ""text"": ""Chinese""}, {""type"": ""ORG"", ""text"": ""Amazon""}]","[{""type"": ""ORG"", ""text"": ""AmazonH""}, {""type"": ""MISC"", ""text"": ""Chinese""}, {""type"": ""ORG"", ""text"": ""Mobile""}, {""type"": ""ORG"", ""text"": ""Amazon""}]",local,,,,
reference_set3,137,BERT,I want to see the winner list of amazon secret door contest. Send me the link.,I want to see the winner list of [REDACTED] secret door contest. Send me the link.,product question,product question,1,neutral,neutral,1,0.993,"[{""type"": ""MISC"", ""text"": ""amazon secret door contest""}]",[],local,,,,
reference_set3,136,BERT,Please drop the details in the link here: [URL] to assist you further.(2/2)^HR,Please drop the details in the link here: [URL] to assist you [LOCATION],complaint,praise and positive feedback,0,neutral,neutral,1,0.9522,[],[],local,,,,
reference_set3,135,BERT,"You're welcome, [NAME]. Glad it's sorted - [NAME] :)","You're welcome, Will. Glad it's sorted - Laura :)",praise and positive feedback,praise and positive feedback,1,positive,positive,1,0.8744,"[{""type"": ""PER"", ""text"": ""Will""}, {""type"": ""PER"", ""text"": ""Laura""}]","[{""type"": ""PER"", ""text"": ""Will""}]",local,,,,
reference_set3,134,BERT,@122155 @LondonMidland The train from [LOCATION] to [LOCATION] via London midland [LOCATION] or u [LOCATION] same speed. 1hr  30 minutes but car 1hr national express 1hr stange train slow,@[REDACTED] @LondonMidland The train from stoke to [LOCATION] via [LOCATION] midland crewe or [REDACTED] same speed. [DATE] but car [DATE] national express 1hr [NAME] slow,complaint,complaint,1,negative,neutral,0,0.9102,"[{""type"": ""ORG"", ""text"": ""LondonMidland""}, {""type"": ""LOC"", ""text"": ""stoke""}, {""type"": ""LOC"", ""text"": ""Liverpool""}, {""type"": ""ORG"", ""text"": ""London midland""}, {""type"": ""LOC"", ""text"": ""crewe""}, {""type"": ""LOC"", ""text"": ""stafford""}, {""type"": ""ORG"", ""text"": ""national express""}]","[{""type"": ""LOC"", ""text"": ""LondonMid""}, {""type"": ""ORG"", ""text"": ""##land""}, {""type"": ""LOC"", ""text"": ""Liverpool""}, {""type"": ""LOC"", ""text"": ""London""}]",local,,,,
reference_set3,133,BERT,So if I charge an apple device everyday for 12 hours it will not damage the battery? What if I charge it for 24 hours straight everyday?,So if I charge an apple device everyday for [DATE] it will not damage the battery? What if I charge it for [DATE] straight everyday?,product question,product question,1,neutral,neutral,1,0.7694,"[{""type"": ""ORG"", ""text"": ""apple""}]",[],local,,,,
reference_set3,132,BERT,"@115913 Well there is no email, so I am on twitter if that helps [NAME], thank you","@[REDACTED] Well there is no email, so I am on [NAME] if that helps [NAME], thank you",complaint,praise and positive feedback,0,neutral,neutral,1,0.9982,"[{""type"": ""PER"", ""text"": ""Shelby""}]","[{""type"": ""PER"", ""text"": ""Shelby""}]",local,,,,
reference_set3,131,BERT,@ATVIAssist Thanks.. It did the same by my😅,@ATVIAssist Thanks.. It did the same by my😅,technical issue,praise and positive feedback,0,neutral,negative,0,0.5629,"[{""type"": ""ORG"", ""text"": ""ATVIAssist""}]","[{""type"": ""ORG"", ""text"": ""ATVIAs""}]",local,,,,
reference_set3,130,BERT,@414172 Haha! Look at this,@[REDACTED] Haha! Look at this,product question,praise and positive feedback,0,positive,neutral,0,0.9822,[],[],local,,,,
reference_set3,129,BERT,please address my SR [ID] is registered on [DATE] facing NW issue very badly at home.,please address my [REDACTED] [ID] is registered on [DATE] 04:12a.m. facing [LOCATION] issue very badly at home.,technical issue,complaint,0,negative,neutral,0,0.9958,[],"[{""type"": ""LOC"", ""text"": ""NW""}]",local,,,,
reference_set3,128,BERT,"We understand your [URL] will get a positive resolution soon,so please bear with us for some time.","We understand your [URL] will get a positive resolution soon,so please bear with us for some time.",complaint,complaint,1,neutral,neutral,1,0.9966,[],[],local,,,,
reference_set3,127,BERT,Here to help! Please send us a note via  [URL]   so our team can connect.,Here to help! Please send us a note via  [URL]   so our team can connect.,complaint,praise and positive feedback,0,neutral,positive,0,0.9934,[],[],local,,,,
reference_set3,126,BERT,"@AirbnbHelp @788062 @115783 @787286 Sorry to Airbnb for misrepresenting. I don't normally tweet ranty negative things like that. But I'm not feeling *that* sorry, because sometimes you have to call things out when they're unacceptable and I've been seeing this more and more recently.","@AirbnbHelp @[REDACTED] @[REDACTED] @[REDACTED] Sorry to Airbnb for misrepresenting. I don't normally tweet ranty negative things like that. But I'm not feeling *that* sorry, because sometimes you have to call things out when they're unacceptable and I've been seeing this more and more recently.",complaint,complaint,1,negative,neutral,0,0.892,"[{""type"": ""ORG"", ""text"": ""AirbnbHelp""}, {""type"": ""ORG"", ""text"": ""Airbnb""}]","[{""type"": ""ORG"", ""text"": ""Air""}]",local,,,,
reference_set3,125,BERT,"Join me, T-Mobile’s CEO, because no other CEO is going to pop into your timeline and offer you a chance to win FREE stuff! 🎉","Join me, [REDACTED] CEO, because no other CEO is going to pop into your timeline and offer you a chance to win FREE stuff! 🎉",product question,praise and positive feedback,0,positive,positive,1,0.9885,"[{""type"": ""ORG"", ""text"": ""T-Mobile""}]","[{""type"": ""ORG"", ""text"": ""T - Mobile""}]",local,,,,
reference_set3,124,BERT,Team still no solution in this,Team still no solution in this,complaint,complaint,1,negative,neutral,0,0.9982,[],[],local,,,,
reference_set3,123,BERT,@713819 [URL] Could you play this the next time @97048 flies with us? 😂,@[REDACTED] [URL] Could you play this the next time @97048 flies with us? 😂,product question,product question,1,positive,neutral,0,0.8191,[],[],local,,,,
reference_set3,122,BERT,We've assisted you on call.^JM,We've assisted you on call.^JM,complaint,praise and positive feedback,0,neutral,positive,0,0.9963,[],[],local,,,,
reference_set3,121,BERT,@Ask_Spectrum Every other option has a downside. Satellite… Fucks up in rainy weather. And in order to get Internet that’s worth a shit they make it so,@Ask_Spectrum Every other option has a downside. Satellite… Fucks up in rainy weather. And in order to get Internet that’s worth a shit they make it so,complaint,complaint,1,negative,negative,1,0.9948,"[{""type"": ""ORG"", ""text"": ""Ask_Spectrum""}]","[{""type"": ""MISC"", ""text"": ""Internet""}]",local,,,,
reference_set3,120,BERT,@4030 @118702 @115937 @4110 @4168 @119356 @115821 @131283 @144775 @2517 My review will help a lot of innocent buyers to avoid the trap. Please do not fill ur pockets unethically. #ScamAtAmazon #Day2,[REDACTED] @4168 @[REDACTED] @[REDACTED] @[REDACTED] @[REDACTED] @2517 My review will help a lot of innocent buyers to avoid the trap. Please do not fill ur pockets unethically. #ScamAtAmazon #Day2,complaint,complaint,1,negative,neutral,0,0.9525,[],[],local,,,,
reference_set3,119,BERT,@116665 @186442 @127472 Still struggling with this. Virgin used to pride itself on customer response and care - can somebody help please ?,@[REDACTED] @[REDACTED] @[REDACTED] Still struggling with this. Virgin used to pride itself on customer response and care - can somebody help please ?,complaint,complaint,1,negative,negative,1,0.6129,"[{""type"": ""ORG"", ""text"": ""Virgin""}]","[{""type"": ""ORG"", ""text"": ""Virgin""}]",local,,,,
reference_set3,118,BERT,"@591609 im on the hook for $25,000 for a totalled car because it took  5days to add collision to a policy then i had an accident on the 4th day...","@[REDACTED] im on the hook for $25,000 for a totalled car because it took  [DATE] to add collision to a policy then i had an accident on [DATE]...",complaint,complaint,1,negative,negative,1,0.9911,[],[],local,,,,
reference_set3,117,BERT,I'm really sorry about this! Was this the Amazon VISA or Amazon Store Card? ^AH,I'm really sorry about this! Was this the [REDACTED] VISA or [REDACTED]? ^AH,billing and payments,complaint,0,neutral,negative,0,0.9913,"[{""type"": ""MISC"", ""text"": ""Amazon VISA""}, {""type"": ""MISC"", ""text"": ""Amazon Store Card""}]","[{""type"": ""MISC"", ""text"": ""Amazon VISA""}, {""type"": ""MISC"", ""text"": ""Amazon Store Card""}]",local,,,,
reference_set3,116,BERT,@122467 How to a make a chargeback claim please,@[REDACTED] How to a make a chargeback claim please,billing and payments,complaint,0,neutral,neutral,1,0.9964,[],[],local,,,,
reference_set3,115,BERT,"So sorry for the wait. Again, thank you for your continued patience. Please let us know if we can further assist. *AJC","So sorry for the wait. Again, thank you for your continued patience. Please let us know if we can further assist. *[REDACTED]",complaint,praise and positive feedback,0,neutral,negative,0,0.9526,[],"[{""type"": ""ORG"", ""text"": ""AJC""}]",local,,,,
